,Accession,HieVi_l0,HieVi_l1,HieVi_l2,HieVi_l3
0,AB002632,312,-1,-1,-1
1,AB008550,1106,0,0,0
2,AB009866,-1,-1,-1,202
3,AB012573,325,1,1,1
4,AB012574,325,1,1,1
5,AB016282,2024,97,92,85
6,AB036666,404,-1,-1,-1
7,AB043678,322,-1,-1,-1
8,AB043679,322,-1,-1,-1
9,AB044554,2820,-1,-1,202
10,AB045978,-1,-1,-1,202
11,AB063393,342,-1,-1,-1
12,AB102868,2268,2,2,3
13,AB231700,975,173,160,150
14,AB243556,2843,-1,-1,202
15,AB255436,-1,215,204,273
16,AB259123,361,-1,-1,-1
17,AB259124,339,-1,-1,112
18,AB276040,1137,1205,1116,856
19,AB285204,-1,-1,-1,-1
20,AB334720,298,82,78,72
21,AB334721,298,82,78,72
22,AB362338,2291,4,4,3
23,AB366653,-1,-1,-1,779
24,AB370205,3114,-1,1164,202
25,AB370268,-1,-1,1164,202
26,AB374228,1075,3,3,2
27,AB426868,2291,4,4,3
28,AB434711,361,-1,-1,6
29,AB451219,2716,-1,-1,-1
30,AB472900,5135,886,829,742
31,AB560486,-1,1313,1214,938
32,AB572858,327,-1,-1,-1
33,AB597179,2400,-1,-1,939
34,AB605730,4796,5,5,310
35,AB609718,4919,359,386,310
36,AB626962,665,6,743,1046
37,AB626963,665,6,743,1046
38,AB647160,-1,-1,-1,-1
39,AB711120,-1,-1,-1,-1
40,AB712291,-1,1183,1098,841
41,AB716666,3209,1100,1028,784
42,AB720063,-1,-1,-1,-1
43,AB720064,-1,390,365,291
44,AB731695,419,377,352,281
45,AB746912,970,-1,-1,-1
46,AB757800,1772,7,6,4
47,AB757801,1772,7,6,4
48,AB767244,2554,-1,-1,22
49,AB775548,1494,-1,-1,-1
50,AB775549,-1,-1,-1,1076
51,AB797215,-1,1676,1543,742
52,AB823818,-1,-1,-1,-1
53,AB828698,-1,-1,-1,-1
54,AB853330,-1,1145,1066,310
55,AB853331,-1,1145,1066,310
56,AB854109,2844,-1,-1,5
57,AB863625,1062,-1,-1,679
